item_id,item_length,item_width,item_height,bin_length,bin_width,bin_height
9320337,7.394,5.303,0.791,24,12,10
2670739,7.428,5.254,0.833,24,12,10
9346367,7.437,5.339,0.714,24,12,10
6564679,7.278,5.122,0.627,24,12,10
3288189,7.251,5.117,0.685,24,12,10
6294541,7.339,5.013,0.683,24,12,10
4272528,7.348,5.153,0.586,24,12,10
8157508,7.623,5.542,1.423,24,12,10
2272980,6.263,4.459,0.805,24,12,10
7751963,7.818,5.106,0.472,24,12,10
9386746,7.606,5.426,1.337,24,12,10
3505830,10.904,8.469,0.651,24,12,10
7729016,9.958,7.148,1.242,24,12,10
4442272,8.962,5.9,2.12,24,12,10
5408131,8.935,5.903,2.032,24,12,10
2037373,8.756,5.847,2.257,24,12,10
9645970,7.575,5.332,1.336,24,12,10
9835194,9.727,9.205,0.577,24,12,10
7846250,9.826,9.329,0.631,24,12,10
6759903,8.015,7.928,0.731,24,12,10
3109647,7.864,7.796,0.739,24,12,10
9797646,7.692,4.929,2.091,24,12,10
5048413,9.099,7.111,1.704,24,12,10
9582885,5.514,4.832,0.415,24,12,10
9784187,5.592,4.894,0.473,24,12,10
9967493,9.328,7.388,0.606,24,12,10
3901064,7.599,5.304,1.193,24,12,10
5904742,9.212,8.004,1.155,24,12,10
1345014,8.395,6.058,1.338,24,12,10
1965172,10.799,8.227,0.838,24,12,10
3342221,9.517,7.458,1.681,24,12,10
1257209,6.87,4.264,1.372,24,12,10
4686287,7.357,5.174,2.47,24,12,10
6202903,6.069,4.505,0.517,24,12,10
1412012,8.477,5.562,0.845,24,12,10
3053651,8.47,5.542,0.974,24,12,10
5706540,7.521,5.457,1.244,24,12,10
6254612,9.53,3.822,0.139,24,12,10
9043687,9.678,4.34,0.049,24,12,10
1027915,8.162,6.503,0.659,24,12,10
8127886,6.851,3.474,0.748,24,12,10
1480423,9.963,5.758,0.137,24,12,10
1870904,9.748,3.753,0.319,24,12,10
4072019,9.751,4.608,0.287,24,12,10
9344894,10.02,4.471,0.333,24,12,10
6715661,10.991,8.807,1.355,24,12,10
5736516,7.562,4.778,0.695,24,12,10
7639892,7.774,5.111,0.696,24,12,10
2230283,8.922,6.792,0.772,24,12,10
5527751,8.223,5.581,0.898,24,12,10
3997368,7.566,5.4,0.733,24,12,10
9321299,6.86,4.228,1.211,24,12,10
2613458,7.765,5.822,0.725,24,12,10
1667140,7.673,5.33,1.346,24,12,10
3911127,11.113,9.056,0.844,24,12,10
7257812,11.657,8.966,0.685,24,12,10
5391281,7.632,5.088,0.879,24,12,10
4264718,9.551,6.624,1.513,24,12,10
3364814,10.138,7.665,0.755,24,12,10
2837821,9.006,7.932,2.222,24,12,10
1099365,7.294,5.012,1.445,24,12,10
4319320,8.666,7.136,0.489,24,12,10
1769028,7.618,5.403,1.441,24,12,10
5570966,7.455,5.353,0.6,24,12,10
1469357,7.57,5.451,0.575,24,12,10
5075178,7.44,5.289,0.812,24,12,10
9999962,7.502,5.42,1.265,24,12,10
7568891,7.573,5.31,1.24,24,12,10
2413870,7.617,5.287,1.225,24,12,10
2004024,10.902,8.726,0.808,24,12,10
8192551,6.096,4.986,2.198,24,12,10
1842436,6.917,3.971,0.844,24,12,10
5430468,6.085,5.011,2.173,24,12,10
7657844,6.092,5.02,2.275,24,12,10
6056741,5.841,4.738,2.177,24,12,10
2459226,11.016,8.469,0.58,24,12,10
7098851,7.385,5.264,0.822,24,12,10
3920076,6.889,4.783,0.453,24,12,10
4165237,8.442,5.381,0.936,24,12,10
2123790,10.863,8.419,0.499,24,12,10
3402496,14.526,10.808,0.357,24,12,10
6083779,8.404,5.386,1.288,24,12,10
6177384,11.54,8.243,0.178,24,12,10
2170558,11.479,8.224,1.05,24,12,10
8010960,8.426,5.28,0.404,24,12,10
6441746,10.99,8.469,1.575,24,12,10
1897110,11.046,8.224,0.317,24,12,10
6669137,8.818,7.67,0.469,24,12,10
7956165,8.908,7.656,0.458,24,12,10
2082606,8.843,7.666,0.422,24,12,10
8924283,8.908,7.631,0.444,24,12,10
1209498,8.912,7.429,0.441,24,12,10
6582027,8.913,7.471,0.428,24,12,10
4015357,8.848,7.655,0.459,24,12,10
4528147,8.728,7.508,0.507,24,12,10
3785064,7.5,6.708,0.82,24,12,10
9029019,5.866,4.528,0.915,24,12,10
3235322,5.903,4.502,0.659,24,12,10
3009703,7.769,5.063,0.942,24,12,10
8622393,7.717,5.097,2.119,24,12,10
8755523,11.316,9.76,1.833,24,12,10
5647653,7.586,5.341,1.568,24,12,10
6750001,7.398,5.366,1.273,24,12,10
4707522,7.529,5.547,0.914,24,12,10
8256095,7.142,4.489,2.153,24,12,10
4812050,8.925,7.932,1.782,24,12,10
2869613,8.933,6.11,2.636,24,12,10
2548107,6.719,3.437,0.675,24,12,10
4022737,9.765,9.308,0.624,24,12,10
6204171,7.579,5.308,1.371,24,12,10
1776531,7.596,5.3,1.389,24,12,10
5169605,8.832,5.325,0.556,24,12,10
7277150,7.55,5.232,1.33,24,12,10
4240130,7.423,5.046,1.403,24,12,10
5903201,7.557,5.297,1.725,24,12,10
8230070,7.603,5.306,1.395,24,12,10
7039866,7.328,4.935,1.379,24,12,10
6127974,7.412,5.006,1.381,24,12,10
4840465,7.608,5.289,1.384,24,12,10
1383943,7.501,5.149,1.389,24,12,10
9038740,7.824,5.863,0.655,24,12,10
9473866,8.464,5.847,1.09,24,12,10
4119921,7.692,4.892,0.442,24,12,10
9072996,8.239,7,0.527,24,12,10
9686822,8.253,6.625,0.952,24,12,10
3208958,7.156,4.837,0.735,24,12,10
8673712,9.237,6.111,1.408,24,12,10
